자치구,법정동,주거점수,교통점수,치안점수,생활점수,가장가까운역,거리_km,Unnamed: 0,평균소음(dB),공원수,병의원수,점포수,위도,경도
중랑구,신내동,0.648106346,0.811565864,0.777256816,0.460469897,신내,0.310535533,24,47.04337947,108,640,14,37.61260287301914,127.10080910608409
중랑구,중화동,0.630572119,0.787643768,0.777256816,0.460469897,중화,0.252998269,24,47.04337947,108,640,14,37.60050154630933,127.07814697591073
중랑구,상봉동,0.604608837,0.737901567,0.777256816,0.460469897,상봉,0.335297166,24,47.04337947,108,640,14,37.59847710042048,127.0871206825788
중랑구,망우동,0.632566069,0.461573487,0.777256816,0.460469897,신내,1.451819403,24,47.04337947,108,640,14,37.59958767299525,127.1063289111882
중랑구,묵동,0.631342056,0.742417184,0.777256816,0.460469897,먹골,0.291457512,24,47.04337947,108,640,14,37.61271322824592,127.0797417534168
중랑구,면목동,0.626890333,0.798886619,0.777256816,0.460469897,사가정,0.174409229,24,47.04337947,108,640,14,37.582376203370096,127.08921883852842
도봉구,방학동,0.636567225,0.466481712,0.750632385,0.349578815,쌍문,1.910464648,9,47.34564681,81,413,8,37.66528379988991,127.0310645154217
도봉구,창동,0.614546413,0.686087608,0.750632385,0.349578815,창동,0.628582986,9,47.34564681,81,413,8,37.64774603131141,127.04406507195114
도봉구,도봉동,0.624170038,0.166063234,0.750632385,0.349578815,도봉산,1.599365191,9,47.34564681,81,413,8,37.68484909907414,127.02923455286104
도봉구,쌍문동,0.623631028,0.583618807,0.750632385,0.349578815,쌍문,0.855278235,9,47.34564681,81,413,8,37.65335779504591,127.02709753032153
광진구,광장동,0.621398708,0.762388648,0.743992997,0.327236178,광나루,0.301383425,5,47.64320912,68,643,12,37.54783306507074,127.10471008683704
광진구,능동,0.604813646,0.576887586,0.743992997,0.327236178,어린이대공원,0.690453168,5,47.64320912,68,643,12,37.550579426445054,127.0817382032338
광진구,구의동,0.608305424,0.597744279,0.743992997,0.327236178,아차산,0.890262713,5,47.64320912,68,643,12,37.54441002495377,127.09284951513963
광진구,군자동,0.604780925,0.711332051,0.743992997,0.327236178,어린이대공원,0.569897769,5,47.64320912,68,643,12,37.55303739209482,127.07367204366176
광진구,자양동,0.598013989,0.64681256,0.743992997,0.327236178,뚝섬유원지,0.690523849,5,47.64320912,68,643,12,37.53169641843212,127.074524470634
광진구,화양동,0.578448334,0.722562491,0.743992997,0.327236178,건대입구,0.321127726,5,47.64320912,68,643,12,37.54323208852093,127.0732226236489
광진구,중곡동,0.621706301,0.691640762,0.743992997,0.327236178,중곡,0.4746393,5,47.64320912,68,643,12,37.56353621035611,127.08878706575214
양천구,신정동,0.595288034,0.679943404,0.742763003,0.561959282,광흥창,0.51123157,18,46.26312821,121,743,20,37.5430168110661,126.93046415262096
양천구,신정동,0.595288034,0.679943404,0.742763003,0.561959282,광흥창,0.51123157,18,46.26312821,121,743,20,37.51519424032803,126.85571974126518
양천구,신정동,0.595288034,0.679943404,0.742763003,0.561959282,신정네거리,0.612614295,18,46.26312821,121,743,20,37.5430168110661,126.93046415262096
양천구,신정동,0.595288034,0.679943404,0.742763003,0.561959282,신정네거리,0.612614295,18,46.26312821,121,743,20,37.51519424032803,126.85571974126518
양천구,목동,0.613133147,0.469197639,0.742763003,0.561959282,오목교,1.275887164,18,46.26312821,121,743,20,37.53604507597967,126.87452122864993
양천구,신월동,0.623107103,0.420194492,0.742763003,0.561959282,까치산,1.237750322,18,46.26312821,121,743,20,37.52660665026965,126.8343205136667
성동구,금호동3가,0.591988648,0.785282457,0.740244738,0.432791358,금호,0.378909715,15,46.91429396,105,546,8,37.54989242852152,127.01955706092468
성동구,금호동2가,0.556666503,0.823351267,0.740244738,0.432791358,신금호,0.162504859,15,46.91429396,105,546,8,37.5530398650663,127.02041485850224
성동구,금호동1가,0.587440439,0.748899424,0.740244738,0.432791358,신금호,0.419003074,15,46.91429396,105,546,8,37.55356067740617,127.02499448902086
성동구,용답동,0.591259352,0.844032213,0.740244738,0.432791358,신답,0.001043708,15,46.91429396,105,546,8,37.561467128384194,127.0563592486966
성동구,사근동,0.584898614,0.714232229,0.740244738,0.432791358,한양대,0.444698918,15,46.91429396,105,546,8,37.558907810269965,127.04760043230634
성동구,하왕십리동,0.614853676,0.830762958,0.740244738,0.432791358,상왕십리,0.094269315,15,46.91429396,105,546,8,37.56398740181213,127.02802504531402
성동구,행당동,0.591179988,0.752111903,0.740244738,0.432791358,왕십리,0.394309252,15,46.91429396,105,546,8,37.55762720885321,127.0359886333188
성동구,옥수동,0.550488487,0.717618224,0.740244738,0.432791358,옥수,0.302626394,15,46.91429396,105,546,8,37.5408875721585,127.0205895851984
성동구,성수동1가,0.518680137,0.808713784,0.740244738,0.432791358,뚝섬,0.567163968,15,46.91429396,105,546,8,37.54361034495203,127.04282053980631
성동구,송정동,0.594687417,0.467627584,0.740244738,0.432791358,장한평,0.943272654,15,46.91429396,105,546,8,37.55317972635092,127.06207886447343
성동구,마장동,0.605319451,0.764619769,0.740244738,0.432791358,마장,0.240411105,15,46.91429396,105,546,8,37.56736423755254,127.04074268574004
성동구,상왕십리동,0.592351161,0.726179011,0.740244738,0.432791358,신당,0.562750217,15,46.91429396,105,546,8,37.56845707904929,127.02481825521016
성동구,성수동2가,0.578038522,0.70303114,0.740244738,0.432791358,성수,0.441227132,15,46.91429396,105,546,8,37.54068671917899,127.05663622922522
성동구,홍익동,0.608082702,0.765877401,0.740244738,0.432791358,상왕십리,0.378110698,15,46.91429396,105,546,8,37.566490898337136,127.0323485211366
성동구,도선동,0.58814224,0.767297225,0.740244738,0.432791358,왕십리,0.341292076,15,46.91429396,105,546,8,37.56381115234525,127.03355003164656
성동구,응봉동,0.597832137,0.824785862,0.740244738,0.432791358,행당,0.807608699,15,46.91429396,105,546,8,37.55088717872728,127.03380808338515
성동구,금호동4가,0.562702523,0.678844645,0.740244738,0.432791358,옥수,0.749401748,15,46.91429396,105,546,8,37.54546589675233,127.0243014317816
성북구,하월곡동,0.626268287,0.753569523,0.731130047,0.539094027,월곡,0.359865073,16,46.61146533,123,621,19,37.60468164340092,127.03935668514944
성북구,삼선동3가,0.644701867,0.712201736,0.731130047,0.539094027,보문,0.574402601,16,46.61146533,123,621,19,37.58654322769411,127.01306625873292
성북구,삼선동1가,0.639517738,0.683552653,0.731130047,0.539094027,한성대입구,0.397784265,16,46.61146533,123,621,19,37.58491319088448,127.00789331330364
성북구,길음동,0.624237056,0.675867023,0.731130047,0.539094027,길음,0.574750897,16,46.61146533,123,621,19,37.60859157786493,127.02214219949228
성북구,석관동,0.628529351,0.63779036,0.731130047,0.539094027,돌곶이,0.512341641,16,46.61146533,123,621,19,37.60826585630176,127.06148126152796
성북구,성북동,0.605231052,0.382806405,0.731130047,0.539094027,한성대입구,1.569003117,16,46.61146533,123,621,19,37.59724489574425,126.99291235972596
성북구,돈암동,0.628084964,0.67652486,0.731130047,0.539094027,성신여대입구,0.562486079,16,46.61146533,123,621,19,37.59779437434217,127.01827868108494
성북구,장위동,0.637839308,0.578450128,0.731130047,0.539094027,돌곶이,0.775550407,16,46.61146533,123,621,19,37.61521893267884,127.0499154925549
성북구,안암동4가,0.615780697,0.724369957,0.731130047,0.539094027,신설동,0.5073386,16,46.61146533,123,621,19,37.580687960074975,127.02466652651518
성북구,종암동,0.616230669,0.635872126,0.731130047,0.539094027,고려대,0.786532348,16,46.61146533,123,621,19,37.5971739787968,127.0339033111301
성북구,정릉동,0.626936947,0.549307758,0.731130047,0.539094027,길음,2.757697205,16,46.61146533,123,621,19,37.61558770789689,126.99766768303196
성북구,성북동1가,0.630604179,0.757801658,0.731130047,0.539094027,한성대입구,0.297714255,16,46.61146533,123,621,19,37.58952569121407,127.0037030967678
성북구,상월곡동,0.618161698,0.831543119,0.731130047,0.539094027,상월곡,0.069404232,16,46.61146533,123,621,19,37.60617019263941,127.04777410287504
성북구,동선동5가,0.598381802,0.73971101,0.731130047,0.539094027,성신여대입구,0.393431,16,46.61146533,123,621,19,37.59628661418045,127.0166692597783
성북구,삼선동2가,0.628302622,0.69756531,0.731130047,0.539094027,창신,0.569827452,16,46.61146533,123,621,19,37.58387958596006,127.01137577868384
성북구,동선동3가,0.611716382,0.730027806,0.731130047,0.539094027,성신여대입구,0.321858837,16,46.61146533,123,621,19,37.59393207417445,127.02068357618006
성북구,동선동4가,0.609480566,0.741829833,0.731130047,0.539094027,성신여대입구,0.291052385,16,46.61146533,123,621,19,37.59519641144902,127.0186241720943
성북구,동소문동4가,0.607552219,0.696159761,0.731130047,0.539094027,한성대입구,0.509350927,16,46.61146533,123,621,19,37.591757082881074,127.01065605324958
성북구,안암동5가,0.573764454,0.733984069,0.731130047,0.539094027,안암,0.250288922,16,46.61146533,123,621,19,37.58845695402687,127.0283853163227
성북구,보문동7가,0.609415687,0.766602353,0.731130047,0.539094027,신설동,0.455114732,16,46.61146533,123,621,19,37.57977368521093,127.02237849981132
성북구,동선동2가,0.604438369,0.761461563,0.731130047,0.539094027,성신여대입구,0.373684717,16,46.61146533,123,621,19,37.590179030520176,127.02002168879928
성북구,동소문동3가,0.609129946,0.742910983,0.731130047,0.539094027,한성대입구,0.455804502,16,46.61146533,123,621,19,37.59038714875386,127.01125345744262
성북구,보문동4가,0.592169102,0.789124883,0.731130047,0.539094027,보문,0.316849084,16,46.61146533,123,621,19,37.582918036038485,127.0213675406412
성북구,보문동6가,0.6249379,0.710989028,0.731130047,0.539094027,창신,0.326901307,16,46.61146533,123,621,19,37.580391243961664,127.01886415225356
성북구,삼선동5가,0.61395319,0.729590171,0.731130047,0.539094027,보문,0.474819353,16,46.61146533,123,621,19,37.58854082989076,127.01587788319604
성북구,보문동2가,0.603056969,0.830867248,0.731130047,0.539094027,보문,0.113543732,16,46.61146533,123,621,19,37.58575727908645,127.01823148071124
성북구,안암동1가,0.616331156,0.755581139,0.731130047,0.539094027,보문,0.449045676,16,46.61146533,123,621,19,37.58870610610021,127.02210702282144
성북구,보문동3가,0.653097098,0.739429539,0.731130047,0.539094027,보문,0.304306329,16,46.61146533,123,621,19,37.58396379545761,127.01636366412706
성북구,동소문동2가,0.562467197,0.811664969,0.731130047,0.539094027,한성대입구,0.138933191,16,46.61146533,123,621,19,37.58872065981654,127.00826467875724
성북구,보문동1가,0.645432188,0.825607347,0.731130047,0.539094027,보문,0.136200637,16,46.61146533,123,621,19,37.58649816491943,127.01966763983408
성북구,보문동5가,0.605939574,0.787162746,0.731130047,0.539094027,보문,0.327293016,16,46.61146533,123,621,19,37.58239846656773,127.02008517362827
성북구,동선동1가,0.565831159,0.81728197,0.731130047,0.539094027,성신여대입구,0.094791637,16,46.61146533,123,621,19,37.59231397649097,127.01823581327017
성북구,안암동3가,0.596188724,0.727216534,0.731130047,0.539094027,보문,0.399877782,16,46.61146533,123,621,19,37.5835463661587,127.02333672057853
성북구,동소문동7가,0.646294012,0.745938146,0.731130047,0.539094027,성신여대입구,0.481271221,16,46.61146533,123,621,19,37.59632606158917,127.01419803005746
성북구,삼선동4가,0.610566225,0.736133677,0.731130047,0.539094027,성신여대입구,0.478852832,16,46.61146533,123,621,19,37.5900247723748,127.01316772656968
성북구,동소문동5가,0.595033554,0.799313112,0.731130047,0.539094027,성신여대입구,0.21397358,16,46.61146533,123,621,19,37.591639359969065,127.01538660308722
성북구,동소문동1가,0.627479143,0.787222933,0.731130047,0.539094027,한성대입구,0.189666175,16,46.61146533,123,621,19,37.59003932868729,127.0072643778981
성북구,안암동2가,0.607316086,0.773780935,0.731130047,0.539094027,보문,0.380846429,16,46.61146533,123,621,19,37.58690018571313,127.023186719026
성북구,동소문동6가,0.5979683,0.777017678,0.731130047,0.539094027,성신여대입구,0.284649924,16,46.61146533,123,621,19,37.593531553419766,127.01425562146368
은평구,대조동,0.64384514,0.711862225,0.728274068,0.49629654,구산,0.533993605,21,47.78488318,136,786,16,37.61225614369351,126.92315285156278
은평구,증산동,0.63838929,0.525549916,0.728274068,0.49629654,증산,0.338023672,21,47.78488318,136,786,16,37.58416821529696,126.9059646394974
은평구,응암동,0.627610139,0.628372419,0.728274068,0.49629654,응암,0.849786634,21,47.78488318,136,786,16,37.59383547264616,126.92312542934742
은평구,불광동,0.619854523,0.720531625,0.728274068,0.49629654,독바위,0.239103349,21,47.78488318,136,786,16,37.61915589025829,126.93557718133523
은평구,신사동,0.625210584,0.645590653,0.728274068,0.49629654,새절,0.752380982,21,47.78488318,136,786,16,37.59561354732575,126.90720337486314
은평구,신사동,0.625210584,0.645590653,0.728274068,0.49629654,새절,0.752380982,21,47.78488318,136,786,16,37.523806395144106,127.02650228132532
은평구,신사동,0.625210584,0.645590653,0.728274068,0.49629654,압구정,0.316236824,21,47.78488318,136,786,16,37.59561354732575,126.90720337486314
은평구,신사동,0.625210584,0.645590653,0.728274068,0.49629654,압구정,0.316236824,21,47.78488318,136,786,16,37.523806395144106,127.02650228132532
은평구,수색동,0.641263433,0.639380679,0.728274068,0.49629654,디지털미디어시티,1.017522438,21,47.78488318,136,786,16,37.58557347752829,126.89454625555076
은평구,진관동,0.655075025,0.320426676,0.728274068,0.49629654,구파발,1.710881065,21,47.78488318,136,786,16,37.639677186704354,126.93782396643677
은평구,갈현동,0.625801747,0.666465555,0.728274068,0.49629654,연신내,0.694548802,21,47.78488318,136,786,16,37.6215428940638,126.9135786903118
은평구,녹번동,0.629311353,0.73153312,0.728274068,0.49629654,녹번,0.502258216,21,47.78488318,136,786,16,37.60530968966606,126.93458302548032
은평구,구산동,0.64372826,0.591119774,0.728274068,0.49629654,구산,0.877381881,21,47.78488318,136,786,16,37.61107267050591,126.9073107706102
은평구,역촌동,0.624299663,0.659343229,0.728274068,0.49629654,응암,0.669917305,21,47.78488318,136,786,16,37.60457760613958,126.9146253282962
구로구,천왕동,0.712192639,0.656642899,0.711308803,0.47487248,천왕,0.658432532,6,47.33544362,114,648,18,37.48083582666148,126.83981905728568
구로구,고척동,0.644452682,0.578616187,0.711308803,0.47487248,양천구청,1.146950004,6,47.33544362,114,648,18,37.5031682278556,126.8588754977167
구로구,궁동,0.635998791,0.531992058,0.711308803,0.47487248,온수,1.038165687,6,47.33544362,114,648,18,37.50043290712402,126.82852544750592
구로구,항동,0.682832583,0.49899842,0.711308803,0.47487248,온수,1.228780996,6,47.33544362,114,648,18,37.48103637559249,126.82459696303658
구로구,가리봉동,0.646618549,0.753730581,0.711308803,0.47487248,남구로,0.390790608,6,47.33544362,114,648,18,37.48270011593635,126.888037545387
구로구,신도림동,0.611199351,0.729898701,0.711308803,0.47487248,도림천,0.535349049,6,47.33544362,114,648,18,37.50994606289345,126.88218515225309
구로구,구로동,0.611039331,0.610835263,0.711308803,0.47487248,남구로,0.924891268,6,47.33544362,114,648,18,37.49423489296112,126.88468640322137
구로구,오류동,0.633145708,0.675707927,0.711308803,0.47487248,천왕,0.58757143,6,47.33544362,114,648,18,37.49199194709521,126.83854752389854
구로구,개봉동,0.663440475,0.702128186,0.711308803,0.47487248,천왕,1.439618741,6,47.33544362,114,648,18,37.49422506784103,126.85194221069509
구로구,온수동,0.611333333,0.707818359,0.711308803,0.47487248,온수,0.331103151,6,47.33544362,114,648,18,37.49414446483049,126.82061672217635
강북구,번동,0.60797739,0.578020453,0.693696806,0.381162524,미아,0.979834772,2,47.38917584,87,526,12,37.629044512919776,127.03675485617644
강북구,우이동,0.64176267,0.298676539,0.693696806,0.381162524,쌍문,3.42132617,2,47.38917584,87,526,12,37.66328756591152,127.00051823221486
강북구,미아동,0.630368781,0.719660119,0.693696806,0.381162524,미아,0.625208893,2,47.38917584,87,526,12,37.6210994912115,127.02387971077648
강북구,수유동,0.619267664,0.617601305,0.693696806,0.381162524,수유,1.537935981,2,47.38917584,87,526,12,37.63832683379476,127.0073719312654
강동구,강일동,0.664065101,0.464018994,0.685996589,0.207030032,강일,1.28599058,1,52.37950359,131,1010,9,37.56891630880583,127.17338315535169
강동구,성내동,0.62004277,0.664729918,0.685996589,0.207030032,강동,0.666110661,1,52.37950359,131,1010,9,37.53049395612965,127.12899207397126
강동구,암사동,0.623428745,0.729726592,0.685996589,0.207030032,암사,0.907834415,1,52.37950359,131,1010,9,37.557805152550095,127.13106286025496
강동구,명일동,0.608850311,0.673397731,0.685996589,0.207030032,명일,0.651936534,1,52.37950359,131,1010,9,37.549053712874695,127.15081001568744
강동구,둔촌동,0.628700893,0.748541288,0.685996589,0.207030032,둔촌동,0.753935654,1,52.37950359,131,1010,9,37.5282638074805,127.14472738121984
강동구,길동,0.61018325,0.694888717,0.685996589,0.207030032,길동,0.545977203,1,52.37950359,131,1010,9,37.539616143314376,127.14592926437038
강동구,천호동,0.61140109,0.675782094,0.685996589,0.207030032,암사,0.638385398,1,52.37950359,131,1010,9,37.54437582650196,127.1276314162956
강동구,상일동,0.646164281,0.645334589,0.685996589,0.207030032,상일동,0.686106898,1,52.37950359,131,1010,9,37.55110306928757,127.16964004585304
강동구,고덕동,0.610377179,0.487681367,0.685996589,0.207030032,고덕,1.041266281,1,52.37950359,131,1010,9,37.56382215039535,127.15823030715546
동대문구,전농동,0.602938957,0.634629095,0.68505535,0.484891892,청량리,0.941111854,10,45.90028121,92,690,13,37.57974738784253,127.05570547039672
동대문구,신설동,0.574474398,0.833716477,0.68505535,0.484891892,신설동,0.048038798,10,45.90028121,92,690,13,37.57494375232369,127.02556084294348
동대문구,회기동,0.623738352,0.679021004,0.68505535,0.484891892,월곡,1.264501265,10,45.90028121,92,690,13,37.59373580260574,127.05145339333636
동대문구,휘경동,0.606293763,0.644159638,0.68505535,0.484891892,청량리,1.937848728,10,45.90028121,92,690,13,37.5882135809774,127.06452147005574
동대문구,제기동,0.58466159,0.676415916,0.68505535,0.484891892,제기동,0.661193493,10,45.90028121,92,690,13,37.58377512547564,127.0372405731706
동대문구,용두동,0.598217939,0.750959987,0.68505535,0.484891892,제기동,0.27124548,10,45.90028121,92,690,13,37.57572085083181,127.03429169495902
동대문구,답십리동,0.620459014,0.683694837,0.68505535,0.484891892,답십리,0.585838304,10,45.90028121,92,690,13,37.571019468796806,127.0566987751418
동대문구,이문동,0.617140532,0.724251176,0.68505535,0.484891892,돌곶이,1.367823036,10,45.90028121,92,690,13,37.599461154392046,127.06325022096844
동대문구,장안동,0.620348555,0.527351627,0.68505535,0.484891892,장한평,1.08484917,10,45.90028121,92,690,13,37.57020728656524,127.0700247305604
동대문구,청량리동,0.625874954,0.602855063,0.68505535,0.484891892,고려대,0.815612003,10,45.90028121,92,690,13,37.58879611079304,127.04528866034124
노원구,하계동,0.603396654,0.719013481,0.679982193,0.65224939,하계,0.422820637,8,46.92384333,186,844,14,37.637644639316335,127.07251019089958
노원구,중계동,0.599929633,0.495374734,0.679982193,0.65224939,상계,1.219227187,8,46.92384333,186,844,14,37.65101314615502,127.07999839289248
노원구,공릉동,0.614210748,0.341343623,0.679982193,0.65224939,화랑대,1.327169105,8,46.92384333,186,844,14,37.63049643200661,127.09101185865042
노원구,월계동,0.607198493,0.710569748,0.679982193,0.65224939,하계,1.341493258,8,46.92384333,186,844,14,37.62824430912774,127.0567402409852
노원구,상계동,0.603303712,0.461096881,0.679982193,0.65224939,당고개,0.807215156,8,46.92384333,186,844,14,37.672993387478456,127.07033803967576
동작구,사당동,0.612925297,0.821695868,0.659665693,0.269918731,남성,0.14862786,11,49.02533609,87,678,6,37.48562270132134,126.9723114287588
동작구,동작동,0.632044921,0.576808486,0.659665693,0.269918731,동작,0.736847133,11,49.02533609,87,678,6,37.49921744714042,126.9738753164937
동작구,흑석동,0.634632628,0.727728457,0.659665693,0.269918731,숭실대입구,1.280914471,11,49.02533609,87,678,6,37.50549296490538,126.9623371207799
동작구,신대방동,0.619561829,0.749759354,0.659665693,0.269918731,신대방,0.667200566,11,49.02533609,87,678,6,37.49267400447332,126.91719140519372
동작구,노량진동,0.609188847,0.754241762,0.659665693,0.269918731,장승배기,0.788024265,11,49.02533609,87,678,6,37.51156998948279,126.94188376696178
동작구,상도동,0.623686665,0.698489229,0.659665693,0.269918731,상도,0.567717084,11,49.02533609,87,678,6,37.49870777145961,126.94408026840898
동작구,대방동,0.611403539,0.720766567,0.659665693,0.269918731,신대방삼거리,0.795110529,11,49.02533609,87,678,6,37.50687904414306,126.92800839767288
동작구,본동,0.633267853,0.831990784,0.659665693,0.269918731,상도,1.184833111,11,49.02533609,87,678,6,37.512447797342,126.95365895650696
동작구,상도1동,0.604083198,0.767933716,0.659665693,0.269918731,상도,0.244091307,11,49.02533609,87,678,6,37.50327447535337,126.95064171787246
금천구,시흥동,0.624463803,0.414052107,0.654187351,0.420758976,구로디지털단지,3.981064474,7,45.5174216,55,406,15,37.44953060467288,126.9092898030286
금천구,가산동,0.605842262,0.738194496,0.654187351,0.420758976,가산디지털단지,0.420536219,7,45.5174216,55,406,15,37.47668485670152,126.883777936767
금천구,독산동,0.613343666,0.616861069,0.654187351,0.420758976,구로디지털단지,1.982747042,7,45.5174216,55,406,15,37.46747651015774,126.89829737580888
서대문구,미근동,0.577215741,0.789488914,0.654052683,0.388343345,서대문,0.280016766,13,48.58337668,125,499,9,37.5633451293723,126.96730347904472
서대문구,천연동,0.60239285,0.679647572,0.654052683,0.388343345,서대문,0.677468715,13,48.58337668,125,499,9,37.56790609249512,126.95943608282532
서대문구,영천동,0.633133554,0.700645653,0.654052683,0.388343345,독립문,0.470325045,13,48.58337668,125,499,9,37.57029920371394,126.95770817665678
서대문구,연희동,0.596973839,0.373325089,0.654052683,0.388343345,홍대입구,1.875439957,13,48.58337668,125,499,9,37.57198189631379,126.93282807088148
서대문구,충정로3가,0.631610782,0.782781518,0.654052683,0.388343345,충정로,0.239401805,13,48.58337668,125,499,9,37.56211703379872,126.96196369647596
서대문구,창천동,0.570894881,0.72411311,0.654052683,0.388343345,신촌,0.459219588,13,48.58337668,125,499,9,37.558698660015565,126.9342113022652
서대문구,북아현동,0.612801912,0.706026766,0.654052683,0.388343345,아현,0.576114034,13,48.58337668,125,499,9,37.56241985883317,126.95438651176944
서대문구,옥천동,0.594206072,0.680260941,0.654052683,0.388343345,독립문,0.58536163,13,48.58337668,125,499,9,37.56935096748271,126.95912790474202
서대문구,북가좌동,0.629570981,0.518887181,0.654052683,0.388343345,증산,0.587847342,13,48.58337668,125,499,9,37.57881009929908,126.91117944017776
서대문구,홍제동,0.630689046,0.704339739,0.654052683,0.388343345,홍제,0.472186138,13,48.58337668,125,499,9,37.58707692215357,126.94895120262883
서대문구,냉천동,0.620826927,0.751325931,0.654052683,0.388343345,서대문,0.389080233,13,48.58337668,125,499,9,37.566814025237264,126.96241874944393
서대문구,남가좌동,0.623858183,0.617392408,0.654052683,0.388343345,증산,1.260078574,13,48.58337668,125,499,9,37.57562240956302,126.91942788004724
서대문구,충정로2가,0.611191695,0.814451849,0.654052683,0.388343345,서대문,0.242173507,13,48.58337668,125,499,9,37.56485394938629,126.96417623890216
서대문구,합동,0.574268183,0.777102673,0.654052683,0.388343345,충정로,0.249549035,13,48.58337668,125,499,9,37.56158642805726,126.966070309143
서대문구,현저동,0.598460892,0.731863898,0.654052683,0.388343345,독립문,0.350969326,13,48.58337668,125,499,9,37.5737715762933,126.95404617651778
서대문구,대신동,0.593979667,0.700830962,0.654052683,0.388343345,이대,0.842627129,13,48.58337668,125,499,9,37.56422013022929,126.94430954681428
